t	P_kN	v4_mm	sigma1	sigma2	sigma3	sigma4
1.638190954773869334e+00	3.815954773869344763e+01	-5.942266611881449023e+01	1.059682116831555874e+02	-1.085427135678391721e+02	-1.008502151199998167e+02	7.306505014705106760e+01
1.648241206030150785e+00	3.709956030150751616e+01	-5.777203650440296911e+01	1.030246502475123833e+02	-1.055276381909547467e+02	-9.804882025555538405e+01	7.103546542074397507e+01
1.658291457286432236e+00	3.603957286432158469e+01	-5.612140688999144089e+01	1.000810888118691366e+02	-1.025125628140703355e+02	-9.524742539111083772e+01	6.900588069443706729e+01
1.668341708542713686e+00	3.497958542713565322e+01	-5.447077727557991977e+01	9.713752737622590416e+01	-9.949748743718586752e+01	-9.244603052666646192e+01	6.697629596813008845e+01
1.678391959798994915e+00	3.391959798994974307e+01	-5.282014766116844129e+01	9.419396594058274275e+01	-9.648241206030151318e+01	-8.964463566222208613e+01	6.494671124182313804e+01
1.688442211055276365e+00	3.285961055276380449e+01	-5.116951804675692017e+01	9.125040450493953870e+01	-9.346733668341707357e+01	-8.684324079777761085e+01	6.291712651551610946e+01
1.698492462311557816e+00	3.179962311557787302e+01	-4.951888843234539905e+01	8.830684306929633465e+01	-9.045226130653266239e+01	-8.404184593333314979e+01	6.088754178920910931e+01
1.708542713567839266e+00	3.073963567839194155e+01	-4.786825881793387794e+01	8.536328163365308797e+01	-8.743718592964822278e+01	-8.124045106888868872e+01	5.885795706290222284e+01
1.718592964824120717e+00	2.967964824120600653e+01	-4.621762920352234971e+01	8.241972019800986970e+01	-8.442211055276376896e+01	-7.843905620444419924e+01	5.682837233659515164e+01
1.728643216080401945e+00	2.861966080402009638e+01	-4.456699958911087833e+01	7.947615876236672250e+01	-8.140703517587940041e+01	-7.563766133999986607e+01	5.479878761028827938e+01
1.738693467336683396e+00	2.755967336683416136e+01	-4.291636997469935011e+01	7.653259732672346161e+01	-7.839195979899498923e+01	-7.283626647555543343e+01	5.276920288398125791e+01
1.748743718592964846e+00	2.649968592964822989e+01	-4.126574036028783610e+01	7.358903589108025756e+01	-7.537688442211053541e+01	-7.003487161111097237e+01	5.073961815767431460e+01
1.758793969849246297e+00	2.543969849246229487e+01	-3.961511074587631498e+01	7.064547445543706772e+01	-7.236180904522611002e+01	-6.723347674666651130e+01	4.871003343136730734e+01
1.768844221105527748e+00	2.437971105527635984e+01	-3.796448113146479386e+01	6.770191301979382104e+01	-6.934673366834167041e+01	-6.443208188222206445e+01	4.668044870506032140e+01
1.778894472361808976e+00	2.331972361809044969e+01	-3.631385151705331538e+01	6.475835158415067383e+01	-6.633165829145731607e+01	-6.163068701777770286e+01	4.465086397875342072e+01
1.788944723618090427e+00	2.225973618090451822e+01	-3.466322190264178715e+01	6.181479014850744136e+01	-6.331658291457287646e+01	-5.882929215333317785e+01	4.262127925244644189e+01
1.798994974874371877e+00	2.119974874371857965e+01	-3.301259228823026604e+01	5.887122871286422310e+01	-6.030150753768842264e+01	-5.602789728888880205e+01	4.059169452613941331e+01
1.809045226130653328e+00	2.013976130653264818e+01	-3.136196267381874492e+01	5.592766727722101194e+01	-5.728643216080399725e+01	-5.322650242444429836e+01	3.856210979983247000e+01
1.819095477386934778e+00	1.907977386934671316e+01	-2.971133305940722735e+01	5.298410584157775816e+01	-5.427135678391958606e+01	-5.042510755999985861e+01	3.653252507352546985e+01
1.829145728643216007e+00	1.801978643216080300e+01	-2.806070344499573821e+01	5.004054440593460384e+01	-5.125628140703519620e+01	-4.762371269555546149e+01	3.450294034721855496e+01
1.839195979899497457e+00	1.695979899497487153e+01	-2.641007383058422064e+01	4.709698297029137137e+01	-4.824120603015075659e+01	-4.482231783111104306e+01	3.247335562091156902e+01
1.849246231155778908e+00	1.589981155778893651e+01	-2.475944421617269953e+01	4.415342153464816732e+01	-4.522613065326633119e+01	-4.202092296666657489e+01	3.044377089460455466e+01
1.859296482412060358e+00	1.483982412060300327e+01	-2.310881460176117486e+01	4.120986009900493485e+01	-4.221105527638188448e+01	-3.921952810222209962e+01	2.841418616829757582e+01
1.869346733668341809e+00	1.377983668341706824e+01	-2.145818498734965729e+01	3.826629866336170949e+01	-3.919597989949745909e+01	-3.641813323777766698e+01	2.638460144199061475e+01
1.879396984924623037e+00	1.271984924623115809e+01	-1.980755537293817525e+01	3.532273722771855518e+01	-3.618090452261309053e+01	-3.361673837333328407e+01	2.435501671568368209e+01
1.889447236180904488e+00	1.165986180904522485e+01	-1.815692575852665769e+01	3.237917579207533691e+01	-3.316582914572865803e+01	-3.081534350888885143e+01	2.232543198937671036e+01
1.899497487437185939e+00	1.059987437185928982e+01	-1.650629614411513302e+01	2.943561435643211155e+01	-3.015075376884421132e+01	-2.801394864444440103e+01	2.029584726306970666e+01
1.909547738693467389e+00	9.539886934673356578e+00	-1.485566652970361368e+01	2.649205292078887908e+01	-2.713567839195979303e+01	-2.521255377999992930e+01	1.826626253676273492e+01
1.919597989949748840e+00	8.479899497487423332e+00	-1.320503691529209256e+01	2.354849148514566437e+01	-2.412060301507533921e+01	-2.241115891555547179e+01	1.623667781045576675e+01
1.929648241206030068e+00	7.419912060301513179e+00	-1.155440730088060874e+01	2.060493004950250295e+01	-2.110552763819098132e+01	-1.960976405111108534e+01	1.420709308414882699e+01
1.939698492462311519e+00	6.359924623115579045e+00	-9.903777686469087627e+00	1.766136861385927759e+01	-1.809045226130654527e+01	-1.680836918666664204e+01	1.217750835784184105e+01
1.949748743718592969e+00	5.299937185929644912e+00	-8.253148072057566509e+00	1.471780717821605577e+01	-1.507537688442210566e+01	-1.400697432222220051e+01	1.014792363153485333e+01
1.959798994974874420e+00	4.239949748743711666e+00	-6.602518457646046279e+00	1.177424574257283219e+01	-1.206030150753766961e+01	-1.120557945777773590e+01	8.118338905227883373e+00
1.969849246231155870e+00	3.179962311557777976e+00	-4.951888843234525162e+00	8.830684306929605043e+00	-9.045226130653237107e+00	-8.404184593333290820e+00	6.088754178920900095e+00
1.979899497487437321e+00	2.119974874371844287e+00	-3.301259228823005376e+00	5.887122871286384118e+00	-6.030150753768804606e+00	-5.602789728888840415e+00	4.059169452613915929e+00
1.989949748743718549e+00	1.059987437185933690e+00	-1.650629614411520452e+00	2.943561435643222701e+00	-3.015075376884434721e+00	-2.801394864444451738e+00	2.029584726306979281e+00
2.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
