x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.877756	1.377756	0.722301	1.198528	1.245931	1.305688	1.318429	1.354836	1.364376	1.365145	1.366763	1.367499
0.879760	1.379760	0.725603	1.200129	1.247556	1.307824	1.320247	1.356799	1.366379	1.367134	1.368798	1.369422
0.881764	1.381764	0.728913	1.201708	1.249195	1.309960	1.322064	1.358761	1.368389	1.369137	1.370830	1.371314
0.883768	1.383768	0.732230	1.203263	1.250849	1.312097	1.323883	1.360723	1.370406	1.371153	1.372858	1.373176
0.885772	1.385772	0.735554	1.204796	1.252517	1.314233	1.325702	1.362684	1.372429	1.373182	1.374881	1.375011
0.887776	1.387776	0.738886	1.206305	1.254202	1.316369	1.327522	1.364647	1.374459	1.375225	1.376901	1.376823
0.889780	1.389780	0.742226	1.207790	1.255902	1.318504	1.329344	1.366609	1.376495	1.377281	1.378916	1.378614
0.891784	1.391784	0.745573	1.209253	1.257618	1.320639	1.331167	1.368572	1.378538	1.379350	1.380926	1.380390
0.893788	1.393788	0.748928	1.210691	1.259351	1.322773	1.332991	1.370537	1.380587	1.381430	1.382931	1.382154
0.895792	1.395792	0.752290	1.212106	1.261101	1.324906	1.334818	1.372502	1.382641	1.383522	1.384932	1.383913
0.897796	1.397796	0.755660	1.213497	1.262869	1.327037	1.336646	1.374468	1.384701	1.385625	1.386929	1.385672
0.899800	1.399800	0.759037	1.214865	1.264654	1.329167	1.338477	1.376436	1.386767	1.387737	1.388921	1.387438
0.901804	1.401804	0.762422	1.216208	1.266458	1.331295	1.340311	1.378405	1.388837	1.389857	1.390908	1.389216
0.903808	1.403808	0.765814	1.217527	1.268281	1.333422	1.342147	1.380377	1.390911	1.391985	1.392891	1.391012
0.905812	1.405812	0.769214	1.218821	1.270123	1.335546	1.343986	1.382350	1.392990	1.394118	1.394871	1.392833
0.907816	1.407816	0.772621	1.220091	1.271985	1.337668	1.345829	1.384326	1.395072	1.396256	1.396847	1.394684
0.909820	1.409820	0.776036	1.221337	1.273866	1.339787	1.347675	1.386304	1.397157	1.398396	1.398820	1.396569
0.911824	1.411824	0.779458	1.222557	1.275768	1.341903	1.349525	1.388285	1.399244	1.400537	1.400791	1.398494
0.913828	1.413828	0.782888	1.223753	1.277692	1.344017	1.351379	1.390269	1.401333	1.402677	1.402760	1.400461
0.915832	1.415832	0.786326	1.224925	1.279636	1.346127	1.353237	1.392255	1.403423	1.404814	1.404727	1.402473
0.917836	1.417836	0.789771	1.226071	1.281602	1.348233	1.355101	1.394245	1.405514	1.406946	1.406693	1.404531
0.919840	1.419840	0.793223	1.227191	1.283591	1.350335	1.356969	1.396238	1.407604	1.409071	1.408659	1.406634
0.921844	1.421844	0.796684	1.228287	1.285602	1.352433	1.358842	1.398235	1.409694	1.411188	1.410626	1.408781
0.923848	1.423848	0.800151	1.229357	1.287636	1.354527	1.360721	1.400235	1.411782	1.413294	1.412594	1.410968
0.925852	1.425852	0.803626	1.230402	1.289694	1.356616	1.362606	1.402239	1.413867	1.415388	1.414563	1.413191
0.927856	1.427856	0.807109	1.231421	1.291776	1.358700	1.364497	1.404246	1.415950	1.417468	1.416535	1.415442
0.929860	1.429860	0.810599	1.232414	1.293882	1.360779	1.366395	1.406258	1.418029	1.419532	1.418510	1.417715
0.931864	1.431864	0.814097	1.233381	1.296014	1.362852	1.368300	1.408273	1.420103	1.421579	1.420489	1.419999
